trigger_name,function_name
RI_ConstraintTrigger_a_16692,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16693,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16720,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16721,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16757,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16758,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_16948,RI_FKey_cascade_del
RI_ConstraintTrigger_a_16949,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17027,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17028,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17046,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17047,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17141,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17142,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17158,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17159,RI_FKey_noaction_upd
RI_ConstraintTrigger_a_17569,RI_FKey_cascade_del
RI_ConstraintTrigger_a_17570,RI_FKey_noaction_upd
